Subject,Night,Epoch
Bidslab00,1,0
Bidslab00,1,1
Bidslab00,1,2
Bidslab00,1,3
Bidslab00,1,4
Bidslab00,1,5
Bidslab00,1,6
Bidslab00,1,7
Bidslab00,1,8
Bidslab00,1,9
Bidslab00,1,10
Bidslab00,1,11
Bidslab00,1,12
Bidslab00,1,13
Bidslab00,1,14
Bidslab00,1,15
Bidslab00,1,16
Bidslab00,1,17
Bidslab00,1,18
Bidslab00,1,19
Bidslab00,1,20
Bidslab00,1,21
Bidslab00,1,22
Bidslab00,1,23
Bidslab00,1,24
Bidslab00,1,25
Bidslab00,1,26
Bidslab00,1,27
Bidslab00,1,28
Bidslab00,1,29
Bidslab00,1,30
Bidslab00,1,31
Bidslab00,1,32
Bidslab00,1,33
Bidslab00,1,34
Bidslab00,1,35
Bidslab00,1,36
Bidslab00,1,37
Bidslab00,1,38
Bidslab00,1,39
Bidslab00,1,40
Bidslab00,1,41
Bidslab00,1,42
Bidslab00,1,43
Bidslab00,1,44
Bidslab00,1,45
Bidslab00,1,46
Bidslab00,1,47
Bidslab00,1,48
Bidslab00,1,49
Bidslab00,1,50
Bidslab00,1,51
Bidslab00,1,52
Bidslab00,1,53
Bidslab00,1,54
Bidslab00,1,55
Bidslab00,1,56
Bidslab00,1,57
Bidslab00,1,58
Bidslab00,1,59
Bidslab00,1,60
Bidslab00,1,61
Bidslab00,1,62
Bidslab00,1,63
Bidslab00,1,64
Bidslab00,1,65
Bidslab00,1,66
Bidslab00,1,67
Bidslab00,1,68
Bidslab00,1,69
Bidslab00,1,70
Bidslab00,1,71
Bidslab00,1,72
Bidslab00,1,73
Bidslab00,1,74
Bidslab00,1,75
Bidslab00,1,76
Bidslab00,1,77
Bidslab00,1,78
Bidslab00,1,79
Bidslab00,1,80
Bidslab00,1,81
Bidslab00,1,82
Bidslab00,1,83
Bidslab00,1,84
Bidslab00,1,85
Bidslab00,1,86
Bidslab00,1,87
Bidslab00,1,88
Bidslab00,1,89
Bidslab00,1,90
Bidslab00,1,91
Bidslab00,1,92
Bidslab00,1,93
Bidslab00,1,94
Bidslab00,1,95
Bidslab00,1,96
Bidslab00,1,97
Bidslab00,1,98
Bidslab00,1,99
Bidslab00,1,100
Bidslab00,1,101
Bidslab00,1,102
Bidslab00,1,103
Bidslab00,1,104
Bidslab00,1,105
Bidslab00,1,106
Bidslab00,1,107
Bidslab00,1,108
Bidslab00,1,109
Bidslab00,1,110
Bidslab00,1,111
Bidslab00,1,112
Bidslab00,1,113
Bidslab00,1,114
Bidslab00,1,115
Bidslab00,1,116
Bidslab00,1,117
Bidslab00,1,118
Bidslab00,1,119
Bidslab00,1,120
Bidslab00,1,121
Bidslab00,1,122
Bidslab00,1,123
Bidslab00,1,124
Bidslab00,1,125
Bidslab00,1,126
Bidslab00,1,127
Bidslab00,1,128
Bidslab00,1,129
Bidslab00,1,130
Bidslab00,1,131
Bidslab00,1,132
Bidslab00,1,133
Bidslab00,1,134
Bidslab00,1,135
Bidslab00,1,136
Bidslab00,1,137
Bidslab00,1,138
Bidslab00,1,139
Bidslab00,1,140
Bidslab00,1,141
Bidslab00,1,142
Bidslab00,1,143
Bidslab00,1,144
Bidslab00,1,145
Bidslab00,1,146
Bidslab00,1,147
Bidslab00,1,148
Bidslab00,1,149
Bidslab00,1,150
Bidslab00,1,151
Bidslab00,1,152
Bidslab00,1,153
Bidslab00,1,154
Bidslab00,1,155
Bidslab00,1,156
Bidslab00,1,157
Bidslab00,1,158
Bidslab00,1,159
Bidslab00,1,160
Bidslab00,1,161
Bidslab00,1,162
Bidslab00,1,163
Bidslab00,1,164
Bidslab00,1,165
Bidslab00,1,166
Bidslab00,1,167
Bidslab00,1,168
Bidslab00,1,169
Bidslab00,1,170
Bidslab00,1,171
Bidslab00,1,172
Bidslab00,1,173
Bidslab00,1,174
Bidslab00,1,175
Bidslab00,1,176
Bidslab00,1,177
Bidslab00,1,178
Bidslab00,1,179
Bidslab00,1,180
Bidslab00,1,181
